"",DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
62,66,2022,6,28,18,2203,CHABA,2,14.6,116.5,998,0,0,0,0,0,0,0,0,2022-06-28 18:00:00,1656439200
63,67,2022,6,29,0,2203,CHABA,2,15.0,116.3,998,0,0,0,0,0,0,0,0,2022-06-29 00:00:00,1656460800
64,68,2022,6,29,6,2203,CHABA,2,15.5,116.2,998,0,0,0,0,0,0,0,0,2022-06-29 06:00:00,1656482400
65,69,2022,6,29,12,2203,CHABA,2,15.6,116.0,998,0,0,0,0,0,0,0,0,2022-06-29 12:00:00,1656504000
66,70,2022,6,29,18,2203,CHABA,2,15.6,115.7,998,0,0,0,0,0,0,0,0,2022-06-29 18:00:00,1656525600
67,71,2022,6,30,0,2203,CHABA,3,15.8,115.5,994,35,0,0,0,2,240,180,0,2022-06-30 00:00:00,1656547200
68,72,2022,6,30,6,2203,CHABA,3,16.1,115.6,992,40,0,0,0,2,240,180,0,2022-06-30 06:00:00,1656568800
69,73,2022,6,30,12,2203,CHABA,3,17.0,115.2,990,45,0,0,0,2,240,180,0,2022-06-30 12:00:00,1656590400
70,74,2022,6,30,18,2203,CHABA,4,17.5,114.6,985,50,0,0,0,2,240,180,0,2022-06-30 18:00:00,1656612000
71,75,2022,7,1,0,2203,CHABA,4,18.3,114.1,980,55,9,60,60,3,300,180,0,2022-07-01 00:00:00,1656633600
72,76,2022,7,1,6,2203,CHABA,4,18.9,113.1,980,55,9,60,60,3,300,180,0,2022-07-01 06:00:00,1656655200
73,77,2022,7,1,12,2203,CHABA,4,19.5,112.6,975,60,9,60,60,3,350,180,0,2022-07-01 12:00:00,1656676800
74,78,2022,7,1,18,2203,CHABA,5,20.2,112.0,970,65,9,60,60,3,350,180,0,2022-07-01 18:00:00,1656698400
75,79,2022,7,2,0,2203,CHABA,5,20.6,111.7,965,70,9,60,60,3,350,180,0,2022-07-02 00:00:00,1656720000
76,80,2022,7,2,6,2203,CHABA,5,21.2,111.2,965,70,9,60,60,3,350,180,0,2022-07-02 06:00:00,1656741600
77,81,2022,7,2,12,2203,CHABA,4,21.9,110.8,980,50,0,0,0,3,350,120,0,2022-07-02 12:00:00,1656763200
78,82,2022,7,2,18,2203,CHABA,3,22.8,110.4,985,45,0,0,0,3,350,90,0,2022-07-02 18:00:00,1656784800
79,83,2022,7,3,0,2203,CHABA,3,23.6,110.6,990,35,0,0,0,3,240,90,0,2022-07-03 00:00:00,1656806400
80,84,2022,7,3,6,2203,CHABA,2,24.4,110.6,994,0,0,0,0,0,0,0,0,2022-07-03 06:00:00,1656828000
81,85,2022,7,3,12,2203,CHABA,2,24.8,110.8,994,0,0,0,0,0,0,0,0,2022-07-03 12:00:00,1656849600
82,86,2022,7,3,18,2203,CHABA,2,25.3,111.2,996,0,0,0,0,0,0,0,0,2022-07-03 18:00:00,1656871200
83,87,2022,7,4,0,2203,CHABA,2,26.1,111.7,996,0,0,0,0,0,0,0,0,2022-07-04 00:00:00,1656892800
84,88,2022,7,4,6,2203,CHABA,2,27.1,112.0,996,0,0,0,0,0,0,0,0,2022-07-04 06:00:00,1656914400
85,89,2022,7,4,12,2203,CHABA,2,27.7,112.6,996,0,0,0,0,0,0,0,0,2022-07-04 12:00:00,1656936000
