"",YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
81,2023,6,6,0,2303,GUCHOL,2,12.8,135.0,1004,0,0,0,0,0,0,0,0,2023-06-06 00:00:00,1686009600
82,2023,6,6,6,2303,GUCHOL,2,13.1,135.1,1002,0,0,0,0,0,0,0,0,2023-06-06 06:00:00,1686031200
83,2023,6,6,12,2303,GUCHOL,3,13.6,135.1,1000,35,0,0,0,2,180,120,0,2023-06-06 12:00:00,1686052800
84,2023,6,6,18,2303,GUCHOL,3,14.1,134.9,1000,35,0,0,0,2,180,120,0,2023-06-06 18:00:00,1686074400
85,2023,6,7,0,2303,GUCHOL,3,14.7,134.3,998,40,0,0,0,2,180,120,0,2023-06-07 00:00:00,1686096000
86,2023,6,7,6,2303,GUCHOL,3,15.0,133.8,996,40,0,0,0,2,180,120,0,2023-06-07 06:00:00,1686117600
87,2023,6,7,12,2303,GUCHOL,3,15.1,133.2,992,45,0,0,0,2,210,150,0,2023-06-07 12:00:00,1686139200
88,2023,6,7,18,2303,GUCHOL,4,15.5,132.4,990,50,0,0,0,2,210,150,0,2023-06-07 18:00:00,1686160800
89,2023,6,8,0,2303,GUCHOL,4,15.8,131.6,985,55,9,60,60,2,210,150,0,2023-06-08 00:00:00,1686182400
90,2023,6,8,6,2303,GUCHOL,4,16.0,131.1,980,60,9,60,60,2,210,150,0,2023-06-08 06:00:00,1686204000
91,2023,6,8,12,2303,GUCHOL,5,16.3,130.8,970,70,9,60,60,1,240,180,0,2023-06-08 12:00:00,1686225600
92,2023,6,8,18,2303,GUCHOL,5,16.8,130.4,965,75,9,60,60,1,240,180,0,2023-06-08 18:00:00,1686247200
93,2023,6,9,0,2303,GUCHOL,5,17.2,130.4,965,75,9,60,60,1,240,210,0,2023-06-09 00:00:00,1686268800
94,2023,6,9,6,2303,GUCHOL,5,17.8,130.1,965,75,9,60,60,1,240,210,0,2023-06-09 06:00:00,1686290400
95,2023,6,9,12,2303,GUCHOL,5,18.1,129.9,965,75,9,60,60,1,240,210,0,2023-06-09 12:00:00,1686312000
96,2023,6,9,18,2303,GUCHOL,5,18.5,129.9,960,80,9,70,70,1,240,210,0,2023-06-09 18:00:00,1686333600
97,2023,6,10,0,2303,GUCHOL,5,18.9,129.9,960,80,9,70,70,1,240,210,0,2023-06-10 00:00:00,1686355200
98,2023,6,10,6,2303,GUCHOL,5,19.9,130.2,960,80,2,80,60,2,240,180,0,2023-06-10 06:00:00,1686376800
99,2023,6,10,12,2303,GUCHOL,5,20.7,130.5,960,75,2,80,60,2,240,180,0,2023-06-10 12:00:00,1686398400
100,2023,6,10,18,2303,GUCHOL,5,21.8,131.1,965,70,2,80,60,2,240,180,0,2023-06-10 18:00:00,1686420000
101,2023,6,11,0,2303,GUCHOL,5,23.0,131.7,970,65,3,80,60,3,240,150,0,2023-06-11 00:00:00,1686441600
102,2023,6,11,6,2303,GUCHOL,4,24.2,132.6,975,60,3,80,60,3,270,150,0,2023-06-11 06:00:00,1686463200
103,2023,6,11,12,2303,GUCHOL,4,25.6,133.8,980,55,3,80,60,3,300,150,0,2023-06-11 12:00:00,1686484800
