,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,2023,4,19,0,2301,SANVU,2,3.5,159.6,1008,0,0,0,0,0,0,0,0,2023-04-19 00:00:00,1681862400
1,2023,4,19,6,2301,SANVU,2,4.3,159.1,1004,0,0,0,0,0,0,0,0,2023-04-19 06:00:00,1681884000
2,2023,4,19,12,2301,SANVU,2,5.3,158.7,1008,0,0,0,0,0,0,0,0,2023-04-19 12:00:00,1681905600
3,2023,4,19,18,2301,SANVU,2,6.9,158.0,1004,0,0,0,0,0,0,0,0,2023-04-19 18:00:00,1681927200
4,2023,4,20,0,2301,SANVU,2,8.1,157.8,1006,0,0,0,0,0,0,0,0,2023-04-20 00:00:00,1681948800
5,2023,4,20,6,2301,SANVU,2,9.1,157.1,1002,0,0,0,0,0,0,0,0,2023-04-20 06:00:00,1681970400
6,2023,4,20,12,2301,SANVU,3,9.6,156.6,1000,35,0,0,0,1,120,90,0,2023-04-20 12:00:00,1681992000
7,2023,4,20,18,2301,SANVU,3,9.9,156.3,998,40,0,0,0,1,120,90,0,2023-04-20 18:00:00,1682013600
8,2023,4,21,0,2301,SANVU,3,10.1,156.0,998,40,0,0,0,1,120,90,0,2023-04-21 00:00:00,1682035200
9,2023,4,21,6,2301,SANVU,3,10.3,155.7,996,45,0,0,0,1,120,90,0,2023-04-21 06:00:00,1682056800
10,2023,4,21,12,2301,SANVU,3,10.4,155.3,1000,40,0,0,0,1,120,90,0,2023-04-21 12:00:00,1682078400
11,2023,4,21,18,2301,SANVU,3,10.4,154.5,1002,35,0,0,0,1,120,90,0,2023-04-21 18:00:00,1682100000
12,2023,4,22,0,2301,SANVU,2,10.3,153.8,1006,0,0,0,0,0,0,0,0,2023-04-22 00:00:00,1682121600
13,2023,4,22,6,2301,SANVU,2,10.3,153.1,1004,0,0,0,0,0,0,0,0,2023-04-22 06:00:00,1682143200
14,2023,5,19,18,2302,MAWAR,2,6.1,149.6,1004,0,0,0,0,0,0,0,0,2023-05-19 18:00:00,1684519200
15,2023,5,20,0,2302,MAWAR,2,6.1,149.4,1004,0,0,0,0,0,0,0,0,2023-05-20 00:00:00,1684540800
16,2023,5,20,6,2302,MAWAR,2,6.1,149.2,1004,0,0,0,0,0,0,0,0,2023-05-20 06:00:00,1684562400
17,2023,5,20,12,2302,MAWAR,3,6.2,149.1,1000,35,0,0,0,9,180,180,0,2023-05-20 12:00:00,1684584000
18,2023,5,20,18,2302,MAWAR,3,6.6,149.0,994,45,0,0,0,9,180,180,0,2023-05-20 18:00:00,1684605600
19,2023,5,21,0,2302,MAWAR,4,7.0,148.7,992,50,0,0,0,9,180,180,0,2023-05-21 00:00:00,1684627200
